source_id,source_type,title,author_or_publisher,url,archive_url,vault_reference,date_published,retrieved_at
SRC-016,investigative_report,Удален YouTube-канал «Просто журналистика» Лукпана Ахмедьярова,Vlast.kz,https://vlast.kz/novosti/65739-udalen-youtube-kanal-prosto-zurnalistika-lukpana-ahmedarova.html,https://web.archive.org/web/20250718000000*/https://vlast.kz/novosti/65739-udalen-youtube-kanal-prosto-zurnalistika-lukpana-ahmedarova.html,,2025-07-18,2026-09-25
SRC-017,investigative_report,Удалены аккаунты известных журналистов Ахмедьярова и Борейко в соцсетях,Vlast.kz,https://vlast.kz/novosti/65608-udaleny-akkaunty-izvestnyh-zurnalistov-ahmedarova-i-borejko-v-socsetah.html,https://web.archive.org/web/20250715000000*/https://vlast.kz/novosti/65608-udaleny-akkaunty-izvestnyh-zurnalistov-ahmedarova-i-borejko-v-socsetah.html,,2025-07,2026-09-25
SRC-018,investigative_report,Respublika.kz.media reported losing its official Facebook page,Tirek.info,https://tirek.info/respublika-kz-media-zayavila-chto-lishilas-svoej-ofitsialnoj-stranitsy-v-facebook/,https://web.archive.org/web/20260102000000*/https://tirek.info/respublika-kz-media-zayavila-chto-lishilas-svoej-ofitsialnoj-stranitsy-v-facebook/,,2026-01-02,2026-09-25
SRC-019,investigative_report,Meta removed Respublika.kz publications about the Constitution,Exclusive.kz,https://exclusive.kz/meta-udalila-publikacii-respublika-kz-o-konstitucii/,https://web.archive.org/web/20260301000000*/https://exclusive.kz/meta-udalila-publikacii-respublika-kz-o-konstitucii/,,2026-03,2026-09-25
SRC-020,newsroom_direct_evidence,Respublika attack waves dataset,Provereno Media,,,VAULT-RESPUBLIKA-WAVES-2026,2026-09-24,2026-09-25
SRC-021,investigative_report,AiPlex and MarkScan investigation summary,Provereno Media,,,VAULT-PROJECT-AIPLEX-MARKSCAN,2026-07-22,2026-09-25
SRC-022,newsroom_direct_evidence,respublikaKZmediaNEWS: April wave counts and account statistics,Respublika.kz.media,https://t.me/s/respublikaKZmediaNEWS,,,2026-04,2026-09-25
SRC-023,investigative_report,YouTube channel of Pravovoy Media Center was blocked,Factcheck.kz,https://factcheck.kz/articles/youtube-kanal-pravovogo-media-centra-podvergsya-blokirovke,https://web.archive.org/web/20260223000000*/https://factcheck.kz/articles/youtube-kanal-pravovogo-media-centra-podvergsya-blokirovke,,2026-02-23,2026-09-25
SRC-024,investigative_report,Правовой медиа-центр лишился аккаунта в Facebook,Exclusive.kz,https://exclusive.kz/pravovoj-media-centr-lishilsja-akkaunta-v-facebook/,https://web.archive.org/web/20260421000000*/https://exclusive.kz/pravovoj-media-centr-lishilsja-akkaunta-v-facebook/,,2026-04-21,2026-09-25
SRC-025,investigative_report,Правовой медиа-центр в Facebook заблокирован вслед за Instagram,Tirek.info,https://tirek.info/pravovoj-media-tsentr-v-fejsbuke-zablokirovan-vsled-za-instagram/,https://web.archive.org/web/20260421000000*/https://tirek.info/pravovoj-media-tsentr-v-fejsbuke-zablokirovan-vsled-za-instagram/,,2026-04,2026-09-25
SRC-026,newsroom_direct_evidence,Facebook restoration post,Правовой медиа-центр,https://www.facebook.com/lmc.kz/posts/%D0%BF%D0%BE%D1%81%D0%BB%D0%B5-%D0%BC%D0%B5%D1%81%D1%8F%D1%86%D0%B0-%D0%B1%D0%BB%D0%BE%D0%BA%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8-facebook-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0-%D0%BF%D1%80%D0%B0%D0%B2%D0%BE%D0%B2%D0%BE%D0%B3%D0%BE-%D0%BC%D0%B5%D0%B4%D0%B8%D0%B0-%D1%86%D0%B5%D0%BD%D1%82%D1%80%D0%B0-%D0%B2%D0%BD%D0%BE%D0%B2%D1%8C-%D1%81%D1%82%D0%B0%D0%BB%D0%B0-%D0%B4%D0%BE%D1%81/1489141856556475/,,,2026-05,2026-09-25
SRC-027,investigative_report,Instagram account of Azattyq was blocked again,Legal Media Center,https://lmc.kz/instagram-akkaunt-azattyka-vnov-zablokirovan/,https://web.archive.org/web/20260710000000*/https://lmc.kz/instagram-akkaunt-azattyka-vnov-zablokirovan/,,2026-07-10,2026-09-25
SRC-028,investigative_report,Radio Azattyq reported a new blocking of its Instagram account,KazTAG,https://kaztag.kz/ru/news/radio-azattyk-zayavilo-o-novoy-blokirovke-svoego-akkaunta-v-instagram,https://web.archive.org/web/20260710000000*/https://kaztag.kz/ru/news/radio-azattyk-zayavilo-o-novoy-blokirovke-svoego-akkaunta-v-instagram,,2026-07-10,2026-09-25
SRC-029,newsroom_direct_evidence,Monitori takedown case materials,Monitori / Provereno Media,,,VAULT-MONITORI-2026,2026-08,2026-09-25
SRC-030,primary_legal_document,Formal legal notice by MP Dr. Abdillahi Hashi Abib to AiPlex Software / Meta / Gaylan Media,Dr. Abdillahi Hashi Abib (Member of the Federal Parliament of Somalia),,,VAULT-GAYLAN-SOMALIA-2026,2026-04-13,2026-09-25
SRC-031,platform_notice,Meta copyright notice naming AiPlex Software Pvt Ltd — RESP-004 (Facebook; 6 posts removed; March 2026),Provereno Media / Respublika.kz.media,,[TO BE ADDED],VAULT-PROJECT-AIPLEX-MARKSCAN,2026-03,PENDING
SRC-032,platform_notice,Meta copyright notice naming AiPlex Software Pvt Ltd — RESP-005 (Facebook; April 2026 wave),Provereno Media / Respublika.kz.media,,[TO BE ADDED],VAULT-PROJECT-AIPLEX-MARKSCAN,2026-04,PENDING
SRC-033,platform_notice,Meta copyright notice naming AiPlex Software Pvt Ltd — LMC-002 (Instagram; April 2026),Provereno Media / Правовой медиа-центр,,[TO BE ADDED],VAULT-PROJECT-AIPLEX-MARKSCAN,2026-04,PENDING
SRC-034,platform_notice,Meta copyright notice naming AiPlex Software Pvt Ltd — LMC-003 (Facebook; April 2026),Provereno Media / Правовой медиа-центр,,[TO BE ADDED],VAULT-PROJECT-AIPLEX-MARKSCAN,2026-04,PENDING
SRC-035,platform_notice,Meta copyright notice naming AiPlex Software Pvt Ltd — GAYLAN-001 (Facebook; April 2026),Provereno Media / Gaylan Media,,[TO BE ADDED],VAULT-GAYLAN-SOMALIA-2026,2026-04-13,PENDING
